"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"CHS",1323,769,554,75.44137,-56.35914,19.08223
"CHS",1277,614,663,60.14239,-66.88139,-6.739
"CHS",1350,813,537,80.99819,-54.19314,26.80505
"CHS",1345,821,524,80.20912,-53.26547,26.94365
"CHS",1275,697,578,68.24271,-58.46926,9.77345
"CHS",1223,682,541,67.43908,-54.87572,12.56336
"CHS",1283,824,459,80.28161,-47.47451,32.8071
"CHS",1264,814,450,78.2418,-47.3789,30.8629
"CHS",1278,713,565,68.55121,-58.21297,10.33824
"CHS",1319,809,510,79.90202,-51.902,28.00002
"CHS",1277,538,739,51.84843,-74.96373,-23.1153
"CHS",1290,670,620,64.64674,-63.22971,1.41703
"CHS",1334,852,482,82.59604,-49.93959,32.65645
"CHS",1264,695,569,67.22964,-58.22082,9.00882
"CHS",1301,933,368,92.4006,-37.63189,54.76871
"CHS",1320,823,497,80.77501,-50.4822,30.29281
"CHS",1310,792,518,78.42261,-52.17586,26.24675
"CHS",1248,626,622,61.02158,-62.9978,-1.97622
"CHS",1331,882,449,85.76932,-46.39741,39.37191
"CHS",1343,926,417,93.5835,-41.66692,51.91658
"CHS",1338,769,569,72.88452,-59.2563,13.62822
"CHS",1368,794,574,76.08361,-59.33182,16.75179
"CHS",1272,384,888,35.76308,-90.75742,-54.99434
"PUR",1356,936,420,93.48374,-42.51131,50.97243
"PUR",1350,968,382,93.87055,-40.32891,53.54164
"PUR",1252,646,606,62.95549,-61.43116,1.52433
"PUR",1286,624,662,61.31775,-67.59748,-6.27973
"PUR",1288,767,521,77.08433,-52.16675,24.91758
"PUR",1341,537,804,50.81116,-82.15415,-31.34299
"PUR",1295,639,656,64.33773,-65.9047,-1.56697
"PUR",1301,685,616,64.01379,-65.07631,-1.06252
"PUR",1289,574,715,52.77762,-74.44033,-21.66271
"CDX",1317,716,601,69.39306,-61.40678,7.98628
"CDX",1339,899,440,87.59884,-45.31627,42.28257
"CDX",1334,844,490,82.52806,-50.38472,32.14334
"CDX",1294,707,587,70.52186,-58.63555,11.88631
"CDX",1303,749,554,73.84898,-56.52439,17.32459
"CDX",1346,894,452,87.85819,-46.19971,41.65848
"CDX",1298,715,583,69.65606,-59.26201,10.39405
"CDX",1301,747,554,73.70435,-56.1132,17.59115
"CDX",1312,870,442,87.97516,-44.38812,43.58704
"CDX",1341,697,644,67.07482,-65.95103,1.12379
"CDX",1313,889,424,89.8052,-42.89337,46.91183
"CDX",1290,817,473,81.35462,-47.96298,33.39164
"CDX",1335,896,439,89.40166,-44.05164,45.35002
"CDX",1308,712,596,71.55068,-59.75084,11.79984
"CDX",1324,830,494,80.92706,-50.66811,30.25895
"PUR",1397,808,589,80.77042,-59.21916,21.55126
"PUR",1373,832,541,82.38332,-55.64797,26.73535
"PUR",1325,682,643,66.49635,-65.79823,0.69812
"PUR",1318,638,680,61.39606,-69.31279,-7.91673
"PUR",1296,726,570,69.69651,-59.31183,10.38468
"PUR",1233,651,582,63.3895,-60.00983,3.37967
"PUR",1354,872,482,87.32482,-49.18451,38.14031
"PUR",1299,717,582,71.20468,-59.51941,11.68527
"PUR",1266,417,849,38.43777,-86.8867,-48.44893
"PUR",1408,933,475,89.31293,-50.09357,39.21936
"PUR",1278,542,736,50.27015,-76.67163,-26.40148
"PUR",1245,674,571,63.32143,-60.45707,2.86436
"PUR",1245,544,701,54.08573,-70.00354,-15.91781
"PUR",1351,843,508,79.7761,-53.5169,26.2592
"PUR",1279,596,683,60.7905,-68.48566,-7.69516
"PUR",1328,752,576,74.27693,-59.64819,14.62874
"PUR",1303,700,603,68.17271,-61.02241,7.1503
"PUR",1289,772,517,74.16207,-53.99329,20.16878
"PUR",1250,376,874,32.70929,-91.24464,-58.53535
"PUR",1265,593,672,56.90663,-69.46771,-12.56108
"PUR",1290,788,502,78.99155,-50.43615,28.5554
"PUR",1211,443,768,41.88821,-78.76561,-36.8774
"PUR",1294,490,804,46.5487,-81.7102,-35.1615
"PUR",1270,676,594,63.77112,-62.82103,0.95009
"PUR",1354,946,408,95.59997,-40.85389,54.74608
"PUR",1382,946,436,94.23522,-44.16053,50.07469
"PUR",1343,609,734,58.59435,-74.66644,-16.07209
"PUR",1283,580,703,54.3308,-73.304,-18.9732
"PUR",1220,563,657,53.1414,-67.79268,-14.65128
"PUR",1219,555,664,50.3802,-70.82899,-20.44879
"PUR",1247,407,840,37.88968,-85.65309,-47.76341
"PUR",1286,596,690,58.58573,-70.35989,-11.77416
"PUR",1404,1006,398,105.83885,-37.93452,67.90433
"PUR",1310,692,618,66.50539,-63.18968,3.31571
"PUR",1296,790,506,75.1138,-53.00813,22.10567
"PUR",1296,601,695,55.02526,-73.5916,-18.56634
"PUR",1260,785,475,80.98608,-46.24154,34.74454
"PUR",1320,938,382,96.56538,-37.00991,59.55547
"PUR",1309,466,843,44.15009,-85.59405,-41.44396
"PUR",1279,654,625,71.44942,-59.85884,11.59058
"PUR",1317,548,769,50.26885,-79.96517,-29.69632
"CLM",1252,599,653,61.06809,-65.3197,-4.25161
"CLM",1295,625,670,62.10087,-67.79174,-5.69087
"CLM",1288,746,542,70.08931,-57.26705,12.82226
"CLM",1297,573,724,54.37468,-74.07326,-19.69858
"CLM",1256,406,850,39.1855,-85.93806,-46.75256
"CLM",1303,868,435,87.8594,-43.16063,44.69877
"CLM",1320,613,707,58.1098,-72.84126,-14.73146
"CLM",1284,510,774,49.18878,-78.66983,-29.48105
"CLM",1278,750,528,74.72264,-53.34303,21.37961
"CLM",1370,917,453,90.72087,-46.97577,43.7451
"CLM",1284,655,629,64.47849,-63.40789,1.0706
"CLM",1362,733,629,70.29644,-64.82205,5.47439
"CLM",1304,763,541,76.08162,-54.10864,21.97298
"CLM",1318,812,506,77.60701,-53.26954,24.33747
"CLM",1271,805,466,83.454,-45.51833,37.93567
"CLM",1295,640,655,60.30795,-68.01456,-7.70661
"CLM",1355,876,479,84.98743,-49.92358,35.06385
"CLM",1270,695,575,67.43589,-58.9667,8.46919
"PUR",1281,714,567,71.57222,-57.57586,13.99636
"PUR",1280,518,762,49.01353,-78.44918,-29.43565
"PUR",1268,642,626,60.69477,-65.89478,-5.20001
"PUR",1308,580,728,58.58256,-72.61227,-14.02971
"PUR",1280,720,560,72.16286,-56.11938,16.04348
"PUR",1343,869,474,87.33883,-47.61122,39.72761
"PUR",1269,705,564,71.15284,-56.23421,14.91863
"PUR",1308,748,560,69.70818,-60.54439,9.16379
"PUR",1259,491,768,50.53399,-76.34304,-25.80905
"PUR",1345,831,514,80.23852,-53.88375,26.35477
"PUR",1307,728,579,69.56111,-60.13284,9.42827
"PUR",1338,645,693,65.796,-68.80879,-3.01279
"PUR",1318,830,488,84.16259,-48.37909,35.7835
"PUR",1314,530,784,49.63312,-80.80908,-31.17596
"PUR",1385,1066,319,110.40622,-30.56685,79.83937
"PUR",1290,617,673,56.85187,-70.66181,-13.80994
