"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"CHS",8606,4187,4419,217.861863727,-224.17164557,-6.309781843
"CHS",8663,4420,4243,231.167139457,-211.76536058,19.401778877
"CHS",8725,4652,4073,247.153395227,-203.30767892,43.845716307
"CHS",8627,4118,4509,212.332666474,-228.52537928,-16.192712806
"CHS",8659,3798,4861,209.448342727,-236.34006772,-26.891724993
"CHS",8566,3962,4604,206.046219727,-229.96408187,-23.917862143
"CHS",8642,4336,4306,227.43337864,-214.51445268,12.91892596
"CHS",8575,4387,4188,230.992319757,-207.65090893,23.341410827
"CHS",8670,4763,3907,251.045392557,-193.75920123,57.286191327
"CHS",8460,3606,4854,188.309074314,-242.17075616,-53.861681846
"CHS",8566,4423,4143,229.513638544,-209.70393492,19.809703624
"CHS",8729,4342,4387,216.889091914,-228.25452356,-11.365431646
"CHS",8614,4519,4095,238.464036257,-206.11274318,32.351293077
"CHS",8668,4202,4466,213.069239527,-231.89688952,-18.827649993
"CHS",8639,4710,3929,256.80937307,-189.76566249,67.04371058
"CHS",8541,3901,4640,206.970387844,-229.57636672,-22.605978876
"CHS",8712,4610,4102,247.435008194,-203.06354632,44.371461874
"CHS",8587,4174,4413,209.419274827,-229.01689227,-19.597617443
"CHS",8563,4513,4050,229.41483064,-207.26889403,22.14593661
"CHS",8476,4348,4128,226.18576874,-205.76334488,20.42242386
"CHS",8594,4257,4337,226.020449027,-212.91937832,13.101070707
"CHS",8772,4316,4456,223.24405584,-226.40540143,-3.16134559
"CHS",8522,4307,4215,226.567103444,-207.48790762,19.079195824
"CHS",8705,4385,4320,232.93834307,-213.46521114,19.47313193
"CHS",8572,4521,4051,254.626580257,-187.45080723,67.175773027
"CHS",8790,4787,4003,259.309633744,-195.85432862,63.455305124
"CHS",8646,4185,4461,229.745342414,-218.01119156,11.734150854
"CHS",8620,4562,4058,245.191750314,-195.74984936,49.441900954
"CHS",8667,4542,4125,241.889234857,-201.40904983,40.480185027
"CHS",8629,4555,4074,236.058705514,-205.18720566,30.871499854
"CHS",8660,4689,3971,243.839829687,-197.09452599,46.745303697
"CHS",8572,4268,4304,216.372804127,-220.25850622,-3.885702093
"CHS",8606,4486,4120,235.018984257,-204.97771693,30.041267327
"CHS",8832,4999,3833,282.83132927,-173.15502364,109.67630563
"PUR",8767,5191,3576,260.538329437,-190.42696483,70.111364607
"PUR",8655,4472,4183,213.739987627,-228.37937747,-14.639389843
"PUR",8782,4550,4232,243.494569427,-208.74053647,34.754032957
"CHS",8631,4495,4136,238.049709227,-203.89987577,34.149833457
"CHS",8710,4274,4436,231.496598314,-214.51145776,16.985140554
"CHS",8722,4368,4354,233.653302557,-213.40653648,20.246766077
"CHS",8833,4474,4359,241.715847057,-212.39849618,29.317350877
"CHS",8642,4191,4451,226.529156514,-218.43748986,8.091666654
"CHS",8696,4498,4198,239.194124244,-208.01158972,31.182534524
"CHS",8716,4206,4510,231.64399197,-217.38170634,14.26228563
"CHS",8666,4513,4153,233.674676314,-207.85519586,25.819480454
"CHS",8711,4267,4444,224.701049857,-221.27836303,3.422686827
"CHS",8664,4675,3989,247.271681187,-197.94315014,49.328531047
"CHS",8650,4363,4287,231.262217127,-215.82182307,15.440394057
"CHS",8686,4503,4183,245.387450457,-202.52294813,42.864502327
"CHS",8627,4029,4598,197.578533044,-242.88934812,-45.310815076
"CHS",8535,4301,4234,226.699623214,-213.56165506,13.137968154
"CHS",8652,4141,4511,213.907874114,-231.03024316,-17.122369046
"CHS",8589,4437,4152,236.634657874,-204.54068958,32.093968294
"CHS",8636,3772,4864,203.963174657,-237.24110073,-33.277926073
"CHS",8709,4047,4662,205.913835227,-236.33030512,-30.416469893
"CHS",8628,4394,4234,230.420763327,-214.11217827,16.308585057
"CHS",8552,4189,4363,224.699132057,-212.92242718,11.776704877
"CHS",8670,4664,4006,254.073662057,-189.27651388,64.797148177
"CHS",8595,3931,4664,202.1023901,-233.1752605,-31.0728704
"CHS",8715,4715,4000,247.50761244,-199.75924388,47.74836856
"CHS",8569,4240,4329,209.961509227,-228.73217992,-18.770670693
"CHS",8683,4167,4516,223.393022927,-218.82280892,4.570214007
"CHS",8690,4084,4606,216.893400857,-228.70839283,-11.814991973
"CHS",8624,4357,4267,227.631818657,-214.14639648,13.485422177
"CHS",8611,4137,4474,219.827358527,-221.78201492,-1.954656393
"CHS",8646,4878,3768,261.169901114,-185.20137586,75.968525254
"CHS",8611,4108,4503,223.287236474,-222.45140578,0.835830694
"CHS",8579,4259,4320,222.274102587,-217.16961004,5.104492547
"CHS",8611,4836,3775,257.42161054,-184.37912418,73.04248636
"CHS",8642,4606,4036,253.94731867,-191.19571554,62.75160313
"CHS",8621,4218,4403,225.681986714,-213.86297926,11.819007454
"CHS",8560,4548,4012,226.419383314,-213.26252276,13.156860554
"PUR",8785,4092,4693,192.69858244,-254.08386838,-61.38528594
"PUR",8775,4646,4129,241.23255588,-211.69324055,29.53931533
"PUR",8834,4534,4300,235.66198142,-213.64472103,22.01726039
"PUR",8653,4471,4182,233.148488757,-210.90501398,22.243474777
"CHS",8595,4106,4489,218.011258927,-220.81890282,-2.807643893
"CHS",8673,3879,4794,207.98530077,-236.88877619,-28.90347542
"CHS",8669,4233,4436,216.341076827,-223.14941527,-6.808338443
"CHS",8632,4509,4123,230.007269327,-209.59134172,20.415927607
"CHS",8683,3981,4702,217.022791844,-231.21494312,-14.192151276
"CHS",8609,4326,4283,223.06329674,-221.04060118,2.02269556
"CHS",8622,4107,4515,199.793618314,-239.31106576,-39.517447446
"CHS",8724,4309,4415,234.378154214,-215.61262056,18.765533654
"CHS",8785,4650,4135,242.33306527,-208.31084454,34.02222073
"CHS",8588,4412,4176,220.56898294,-218.02646473,2.54251821
