"subject","total_ALL_1000GP","positive_count","negative_count","positive_effect","negative_effect","effect_sum"
"PUR",49,22,27,0.97892,-1.23736,-0.25844
"PUR",73,38,35,1.60419,-1.49658,0.10761
"CLM",57,26,31,1.11852,-1.40186,-0.28334
"CLM",62,32,30,1.36302,-1.31479,0.0482299999999999
"CLM",60,32,28,1.32175,-1.23279,0.08896
"CLM",62,26,36,1.16036,-1.62181,-0.46145
"CLM",67,34,33,1.41758,-1.39332,0.02426
"CLM",56,27,29,1.04243,-1.30386,-0.26143
"CLM",60,26,34,1.11403,-1.46559,-0.35156
"CLM",66,35,31,1.52045,-1.36312,0.15733
"CLM",60,26,34,1.0679,-1.53162,-0.46372
"CLM",58,28,30,1.14343,-1.30518,-0.16175
"CLM",62,29,33,1.24967,-1.45888,-0.20921
"CLM",57,26,31,1.10303,-1.35041,-0.24738
"CLM",58,27,31,1.17545,-1.3184,-0.14295
"CLM",66,30,36,1.25838,-1.56903,-0.31065
"CLM",59,30,29,1.23551,-1.32342,-0.08791
"CLM",57,25,32,1.07492,-1.38024,-0.30532
"PUR",59,29,30,1.16184,-1.36175,-0.19991
"PUR",65,30,35,1.21347,-1.5893,-0.37583
"PUR",65,35,30,1.51498,-1.37156,0.14342
"PUR",68,33,35,1.4271,-1.50193,-0.0748300000000001
"PUR",61,28,33,1.21153,-1.46672,-0.25519
"PUR",57,27,30,1.15587,-1.34082,-0.18495
"PUR",62,32,30,1.31971,-1.2997,0.02001
"PUR",67,33,34,1.4002,-1.55253,-0.15233
"PUR",61,29,32,1.2591,-1.41736,-0.15826
"PUR",54,28,26,1.16219,-1.1565,0.00568999999999996
"GBR",53,32,21,1.36792,-0.96988,0.39804
"CLM",61,23,38,0.97952,-1.69435,-0.71483
"CLM",61,23,38,0.92006,-1.69173,-0.77167
"CLM",63,28,35,1.1831,-1.48136,-0.29826
"CLM",63,31,32,1.27936,-1.50176,-0.2224
"CLM",56,22,34,0.97073,-1.53934,-0.56861
"CLM",53,24,29,1.04688,-1.36671,-0.31983
"CLM",61,31,30,1.38346,-1.34383,0.0396299999999999
"CLM",56,26,30,1.07538,-1.28618,-0.2108
"CLM",70,28,42,1.1563,-1.80773,-0.65143
"CLM",64,31,33,1.33674,-1.5288,-0.19206
"CLM",55,26,29,1.11214,-1.28869,-0.17655
"CLM",66,30,36,1.29669,-1.56742,-0.27073
"CLM",67,31,36,1.31355,-1.60801,-0.29446
"CLM",56,26,30,1.15232,-1.22393,-0.07161
"CLM",60,27,33,1.16867,-1.47279,-0.30412
"CLM",69,35,34,1.50619,-1.57011,-0.0639200000000001
"CLM",55,28,27,1.22899,-1.19772,0.03127
"CLM",55,24,31,1.01319,-1.44551,-0.43232
"CLM",67,27,40,1.13363,-1.80894,-0.67531
"CLM",62,27,35,1.12676,-1.55067,-0.42391
"CLM",47,21,26,0.89831,-1.13389,-0.23558
"CLM",50,21,29,0.9159,-1.27455,-0.35865
"CLM",62,30,32,1.28832,-1.40837,-0.12005
"CLM",55,29,26,1.17032,-1.23673,-0.06641
"CLM",69,33,36,1.43694,-1.64203,-0.20509
"CLM",59,29,30,1.25821,-1.38183,-0.12362
"CLM",63,28,35,1.19651,-1.55243,-0.35592
"PUR",57,27,30,1.16667,-1.37418,-0.20751
"PUR",61,27,34,1.12414,-1.50487,-0.38073
"PUR",69,37,32,1.57331,-1.45352,0.11979
"PUR",60,27,33,1.19559,-1.52234,-0.32675
"PUR",62,26,36,1.07539,-1.60952,-0.53413
"PUR",59,30,29,1.32867,-1.29644,0.03223
"PUR",46,23,23,0.94688,-1.02629,-0.07941
"PUR",54,22,32,0.93331,-1.42402,-0.49071
"PUR",71,35,36,1.45273,-1.57772,-0.12499
"PUR",57,28,29,1.16774,-1.2568,-0.08906
"PUR",75,35,40,1.47163,-1.74015,-0.26852
"CLM",59,28,31,1.21426,-1.43088,-0.21662
"CLM",64,28,36,1.17185,-1.6187,-0.44685
"CLM",58,27,31,1.16566,-1.3985,-0.23284
"CLM",54,27,27,1.10199,-1.17674,-0.07475
"CLM",63,28,35,1.24863,-1.57586,-0.32723
"CLM",65,29,36,1.19021,-1.5691,-0.37889
"CLM",65,34,31,1.46599,-1.35576,0.11023
"CLM",63,35,28,1.46226,-1.27,0.19226
"CLM",60,26,34,1.12362,-1.52228,-0.39866
"CLM",62,24,38,1.00343,-1.62995,-0.62652
"CLM",58,25,33,1.04304,-1.45044,-0.4074
"CLM",63,31,32,1.22866,-1.43855,-0.20989
"CLM",57,25,32,1.12616,-1.38673,-0.26057
"CLM",56,28,28,1.20109,-1.27372,-0.07263
"CLM",63,20,43,0.76883,-1.87242,-1.10359
"CLM",56,26,30,1.11218,-1.36348,-0.2513
"CLM",67,36,31,1.50265,-1.33824,0.16441
"CLM",71,36,35,1.57283,-1.61294,-0.04011
"CLM",68,32,36,1.34849,-1.57931,-0.23082
"CLM",58,26,32,1.09655,-1.41068,-0.31413
